Filename,Class_ID,Subject_ID,Num_points
a1.txt,A,1,1618
a2.txt,A,2,3495
a3.txt,A,3,3050
a4.txt,A,4,2091
a5.txt,A,5,4348
a6.txt,A,6,4728
a7.txt,A,7,4079
a8.txt,A,8,2240
a9.txt,A,9,1618
a10.txt,A,10,2331
a11.txt,A,11,2508
a12.txt,A,12,4299
a13.txt,A,13,3879
a14.txt,A,14,4105
a15.txt,A,15,2598
b1.txt,B,1,2307
b2.txt,B,2,4444
b3.txt,B,3,4428
b4.txt,B,4,2531
b5.txt,B,5,5532
b6.txt,B,6,7340
b7.txt,B,7,5083
b8.txt,B,8,3269
b9.txt,B,9,4925
b10.txt,B,10,4183
b11.txt,B,11,3958
b12.txt,B,12,4029
b13.txt,B,13,5406
b14.txt,B,14,4929
b15.txt,B,15,5279
c1.txt,C,1,2537
c2.txt,C,2,2993
c3.txt,C,3,3046
c4.txt,C,4,2079
c5.txt,C,5,3289
c6.txt,C,6,3197
c7.txt,C,7,3122
c8.txt,C,8,2719
c9.txt,C,9,3168
c10.txt,C,10,2353
c11.txt,C,11,3634
c12.txt,C,12,2351
c13.txt,C,13,3557
c14.txt,C,14,2934
c15.txt,C,15,3709
d1.txt,D,1,1758
d2.txt,D,2,2657
d3.txt,D,3,3299
d4.txt,D,4,2204
d5.txt,D,5,4230
d6.txt,D,6,4282
d7.txt,D,7,3354
d8.txt,D,8,1974
d9.txt,D,9,3247
d10.txt,D,10,2786
d11.txt,D,11,2334
d12.txt,D,12,2467
d13.txt,D,13,2565
d14.txt,D,14,2340
d15.txt,D,15,3426
e1.txt,E,1,1783
e2.txt,E,2,3800
e3.txt,E,3,3816
e4.txt,E,4,1884
e5.txt,E,5,5257
e6.txt,E,6,6083
e7.txt,E,7,4453
e8.txt,E,8,2175
e9.txt,E,9,3888
e10.txt,E,10,3263
e11.txt,E,11,3593
e12.txt,E,12,3300
e13.txt,E,13,5303
e14.txt,E,14,4842
e15.txt,E,15,5299
f1.txt,F,1,2266
f2.txt,F,2,3278
f3.txt,F,3,3661
f4.txt,F,4,2209
f5.txt,F,5,5101
f6.txt,F,6,6509
f7.txt,F,7,4331
f8.txt,F,8,3335
f9.txt,F,9,4014
f10.txt,F,10,3681
f11.txt,F,11,3090
f12.txt,F,12,3864
f13.txt,F,13,3002
f14.txt,F,14,2844
f15.txt,F,15,3078
g1.txt,G,1,2260
g2.txt,G,2,3456
g3.txt,G,3,3478
g4.txt,G,4,2947
g5.txt,G,5,2976
g6.txt,G,6,5461
g7.txt,G,7,3530
g8.txt,G,8,3059
g9.txt,G,9,4001
g10.txt,G,10,3918
g11.txt,G,11,3357
g12.txt,G,12,4540
g13.txt,G,13,3718
g14.txt,G,14,5318
g15.txt,G,15,4351
h1.txt,H,1,1864
h2.txt,H,2,3444
h3.txt,H,3,3780
h4.txt,H,4,2984
h5.txt,H,5,4764
h6.txt,H,6,6612
h7.txt,H,7,3677
h8.txt,H,8,3401
h9.txt,H,9,3977
h10.txt,H,10,3756
h11.txt,H,11,3377
h12.txt,H,12,3441
h13.txt,H,13,5568
h14.txt,H,14,5351
h15.txt,H,15,5401
i1.txt,I,1,1687
i2.txt,I,2,2786
i3.txt,I,3,2729
i4.txt,I,4,1350
i5.txt,I,5,2183
i6.txt,I,6,4845
i7.txt,I,7,3351
i8.txt,I,8,1997
i9.txt,I,9,3357
i10.txt,I,10,2229
i11.txt,I,11,1910
i12.txt,I,12,3876
i13.txt,I,13,2681
i14.txt,I,14,1598
i15.txt,I,15,2686
l1.txt,L,1,2004
l2.txt,L,2,1603
l3.txt,L,3,3839
l4.txt,L,4,2217
l5.txt,L,5,4548
l6.txt,L,6,5929
l7.txt,L,7,3883
l8.txt,L,8,3371
l9.txt,L,9,3746
l10.txt,L,10,3305
l11.txt,L,11,3029
l12.txt,L,12,3313
l13.txt,L,13,4549
l14.txt,L,14,4224
l15.txt,L,15,4580
m1.txt,M,1,2053
m2.txt,M,2,2537
m3.txt,M,3,3380
m4.txt,M,4,1612
m5.txt,M,5,2704
m6.txt,M,6,4670
m7.txt,M,7,3736
m8.txt,M,8,2030
m9.txt,M,9,2366
m10.txt,M,10,2806
m11.txt,M,11,1290
m12.txt,M,12,3207
m13.txt,M,13,2030
m14.txt,M,14,4009
m15.txt,M,15,1642
n1.txt,N,1,1816
n2.txt,N,2,1453
n3.txt,N,3,2999
n4.txt,N,4,2044
n5.txt,N,5,3410
n6.txt,N,6,3996
n7.txt,N,7,3197
n8.txt,N,8,1635
n9.txt,N,9,3224
n10.txt,N,10,3255
n11.txt,N,11,2604
n12.txt,N,12,1635
n13.txt,N,13,2728
n14.txt,N,14,2399
